City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,San Ramon De La Nueva Oran,AR,75.0,-23.1322,-64.32600000000001,Hotel Residencial Centro
3,Rikitea,PF,77.38,-23.1203,-134.9692,Pension Maro'i
7,Vaini,TO,73.4,-21.2,-175.2,Keleti Beach Resort
8,Vallenar,CL,78.15,-28.5708,-70.7581,Humacao Bed & Breakfast
11,Tual,ID,84.02,-5.6667,132.75,Grand Vilia Hotel
12,Maragogi,BR,82.9,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
13,Kavieng,PG,81.82,-2.5744,150.7967,Nusa Island Retreat
15,Georgetown,MY,80.6,5.4112,100.3354,Cititel Penang
18,Tel Aviv-Yafo,IL,78.01,32.0805,34.7805,Ben Yehuda Apartments
21,Atuona,PF,80.06,-9.8,-139.0333,Villa Enata
22,Cartagena Del Chaira,CO,85.68,1.3349,-74.8429,HOTEL LA ROCA
23,Shakawe,BW,75.65,-18.3667,21.85,Ditlhapi Guest House
26,Axim,GH,82.56,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
29,Bambous Virieux,MU,79.0,-20.3428,57.7575,Casa Tia Villa
30,Port Alfred,ZA,70.56,-33.5906,26.891,The Halyards Hotel
31,Tautira,PF,73.4,-17.7333,-149.15,Pension Oaoa
32,Grand Gaube,MU,79.0,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
36,Cabo San Lucas,MX,82.99,22.8909,-109.9124,Hotel Tesoro Los Cabos
38,Jalu,LY,75.07,29.0331,21.5482,صاحبة الفخامة
39,Avarua,CK,78.8,-21.2078,-159.775,Paradise Inn
41,Butaritari,KI,82.22,3.0707,172.7902,Isles Sunset Lodge
42,Samarai,PG,82.96,-10.6167,150.6667,Nuli Sapi
55,Dawlatabad,AF,76.77,36.4141,64.9053,WASIM ASGAR KHAN
56,Faanui,PF,80.62,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
57,Bengkulu,ID,77.38,-3.8004,102.2655,Grage Hotel Bengkulu
60,Kavaratti,IN,84.63,10.5669,72.642,Hotels in Lakshadweep Islands
66,Sao Joao Da Barra,BR,86.0,-21.6403,-41.0511,Pousada Porto De Canoas
75,Puerto Ayora,EC,80.6,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Kindu,CD,71.8,-2.95,25.95,Résidence Okanda
82,Palmares Do Sul,BR,70.36,-30.2578,-50.5097,Restaurante e Pensão Lopes
85,Hobyo,SO,84.74,5.3505,48.5268,Halane Hotel and Restaurent
87,Umm Lajj,SA,83.35,25.0213,37.2685,Moon light Furnished Units
88,Sakaraha,MG,71.8,-22.9,44.5333,Le Relais
91,Gweta,BW,76.77,-20.1833,25.2333,Gweta Lodge
96,Iralaya,HN,87.8,15.0,-83.2333,Iglesia morava renovada
99,Sur,OM,86.86,22.5667,59.5289,Sur Plaza Hotel
102,Kloulklubed,PW,82.4,7.0419,134.2556,Storyboard Beach Resort
111,Sechura,PE,79.2,-5.5569,-80.8222,Hospedaje Costa Bella
118,Etchoropo,MX,82.99,26.7667,-109.6667,Campo de Andrés cruz jusaino
122,Saint-Philippe,RE,78.8,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Tagusao,PH,79.63,9.1924,117.8141,Toledo
126,San Patricio,US,86.0,28.017,-97.5169,"Motel 6 Sinton, TX"
140,Victoria,HK,73.99,22.2855,114.1577,Mini Hotel Central
146,Iracoubo,GF,82.24,5.4802,-53.2011,Le Gite D Iracoubo
149,Payo,ID,74.14,-3.7508,103.6372,Mess keban agung
150,Tay Ninh,VN,82.89,11.3,106.1,Thanh Tuyền Hotel
153,Paragominas,BR,88.63,-2.9667,-47.4833,.
157,Tiarei,PF,73.4,-17.5333,-149.3333,Le Rocher de Tahiti
158,Nanakuli,US,70.0,21.3906,-158.1547,Camp Pālehua
159,Cidreira,BR,71.38,-30.1811,-50.2056,Hotel Castelo
160,Arraial Do Cabo,BR,84.2,-22.9661,-42.0278,Pousada Porto Praia
161,Mount Isa,AU,71.6,-20.7333,139.5,ibis Styles Mt Isa Verona
163,Camana,PE,71.08,-16.6228,-72.7111,Hostal Morales
166,Nouadhibou,MR,73.4,20.930999999999997,-17.0347,El Medina
169,Sabya,SA,89.6,17.1495,42.6254,Aseel Hotel Apartment
171,Nueva Loja,EC,86.0,0.0847,-76.8828,Limoncocha Great Hotel
173,Lashio,MM,75.25,22.9333,97.75,Hotel CF Lashio - Burmese Only
175,Xiamen,CN,71.6,24.4798,118.0819,Xiamen Dongchen Hotel
177,Tura,IN,79.03,25.5198,90.2201,Hotel RIKMAN Continental
178,Sao Filipe,CV,71.87,14.8961,-24.4956,Tortuga B&B
180,Kapaa,US,73.4,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
182,Bosaso,SO,85.84,11.2842,49.1816,Red Sea Hotel
186,Touros,BR,87.8,-5.1989,-35.4608,INN NEW HORIZON
189,Valle Hermoso,MX,86.0,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
192,Ambanja,MG,75.79,-13.6833,48.45,Hotel Salama and Fast Food
193,Lethem,GY,80.02,3.3803,-59.7968,Savannah Inn
199,Kabin Buri,TH,84.99,13.9511,101.7177,At Home Kabinburi
201,Esmeraldas,BR,86.0,-19.7625,-44.3139,Forasteiro Pousada - Hotel
204,Bontang,ID,80.01,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
210,Saint-Pierre,RE,78.8,-21.3393,55.4781,Lindsey Hôtel
212,Caraguatatuba,BR,80.6,-23.6338,-45.4899,Cibele Cass
215,Port Blair,IN,82.62,11.6667,92.75,Welcomhotel Bay Island Port Blair
221,Vao,NC,73.09,-22.6667,167.4833,Hotel Kou-Bugny
224,Yangjiang,CN,75.6,21.85,111.9667,HUALUXE Yangjiang City Center
229,Ipora,BR,87.85,-16.4419,-51.1178,Oásis Motel
231,Sinnamary,GF,83.34,5.3833,-52.95,ALETHEIA Appartement Sinnamary
234,Coahuayana,MX,82.4,18.7333,-103.6833,El rranchito michuacan de ocampos
237,Teknaf,BD,79.27,20.8624,92.3058,Forestry Guesthouse
243,Acapulco,MX,86.0,16.8634,-99.8901,HS Hotsson Smart Acapulco
245,Tshela,CD,79.27,-4.9833,12.9333,Hotel Mirador
247,Soyo,AO,80.22,-6.1349,12.3689,Hotel Mpampa
248,Pochutla,MX,90.0,15.7432,-96.4661,Hotel Posada San Jose
249,Pratapgarh,IN,87.49,24.0333,74.7833,Ratna Hotel
250,Caravelas,BR,84.87,-17.7125,-39.2481,Pousada dos Navegantes
253,Isangel,VU,76.95,-19.55,169.2667,Tanna Lodge
255,Larap,PH,76.03,14.299000000000001,122.6504,Montemayor Cove
256,Sibolga,ID,77.09,1.7427,98.7792,Hotel Syariah CN Darussalam
257,Kimbe,PG,75.45,-5.5502,150.1429,Kimbe Bay Hotel
263,Cayenne,GF,86.0,4.9333,-52.3333,Hôtel Le Dronmi
264,Nosy Varika,MG,72.72,-20.5833,48.5333,Hotel Volazara
267,Mahibadhoo,MV,83.46,3.7833,72.9667,Omadhoo Inn
270,Mecca,SA,89.22,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
271,Bogo,PH,79.5,11.0517,124.0055,Acrige Apartelle 2 pax Twin @ heart of Bogo City
272,Ilebo,CD,73.99,-4.3167,20.5833,Hôtel BUMAK
277,Biak,ID,75.56,-0.9131,122.8766,Penginapan Kim
278,Salo,IT,73.4,45.6086,10.530999999999999,Park Hotel Casimiro Village - Blu Hotels
281,Oistins,BB,84.2,13.0667,-59.5333,Butterfly Beach Hotel
283,The Valley,AI,86.0,18.217,-63.0578,CeBlue Villas & Beach Resort
285,Port Moresby,PG,75.69,-9.4431,147.1797,Lamana Hotel
287,Barreiras,BR,89.51,-12.1528,-44.99,Príncipe Hotel
290,Kruisfontein,ZA,72.09,-34.0033,24.7314,Oyster Bay House Rental
291,Puerto Narino,CO,78.8,-3.7703,-70.3831,Eware Refugio Amazonico
292,Honiara,SB,78.21,-9.4333,159.95,Heritage Park Hotel
300,Dong Hoi,VN,78.67,17.4833,106.6,Nam Long Hotel
306,Nuevo Progreso,MX,86.0,23.1667,-97.95,Balneario Rio el Paraiso
309,Nakhon Phanom,TH,78.53,17.3333,104.4167,ป่ายางรีสอร์ท
310,Cairns,AU,75.2,-16.9167,145.7667,Mantra Trilogy Cairns
317,Manicore,BR,87.8,-5.8092,-61.3003,Hotel Durval
319,Ouesso,CG,80.65,1.6136,16.0517,Hôtel ABENI
322,Witu,KE,79.9,-2.3889,40.4382,New City Guest House
323,Ascension,US,71.01,30.2169,-90.9001,Highland Inn
324,Akyab,MM,82.63,20.15,92.9,Hotel Memory
328,Lorengau,PG,80.08,-2.0226,147.2712,Lorengau Harbourside Hotel
329,Sao Raimundo Das Mangabeiras,BR,84.47,-7.0219,-45.4811,Hotel Tropical
330,Chake Chake,TZ,78.1,-5.2459,39.7666,Hotel Archipelago
331,Paracatu,BR,88.48,-17.2222,-46.8747,Hotel Paracatu Plaza
346,Padilla,CO,80.6,3.2204,-76.3139,La Granadina
352,Hithadhoo,MV,83.28,-0.6,73.0833,Scoop Guest House
353,Karratha,AU,77.88,-20.7377,116.8463,ibis Styles Karratha
355,Manta,EC,82.4,-0.95,-80.7333,Balandra Hotel
360,Poum,NC,77.16,-20.2333,164.0167,Gîte kajeon
367,Los Llanos De Aridane,ES,71.6,28.6585,-17.9182,Valle Aridane
373,Achutupo,PA,84.58,9.2,-77.9833,Akwa Reef Lodge
374,Dibuluan,PH,73.11,16.5206,121.7631,Anti Lenie Apostol
375,Layog,PH,74.84,7.0767,124.7306,Jokria amino andie
377,Port-Gentil,GA,87.8,-0.7193,8.7815,Fengshui Residence
380,Nhamunda,BR,89.28,-2.1861,-56.7131,Pousada Da Praia
381,Hualmay,PE,71.91,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
384,Sikar,IN,78.55,27.6167,75.15,Hotel Pink Shark
386,Saint George,US,75.0,37.1041,-113.5841,Best Western Plus Abbey Inn
389,Metro,ID,74.68,-5.1131,105.3067,OYO 3177 Wisma Lintang
390,Jardim,BR,72.5,-21.4803,-56.1381,Estancia Hotel - Jardim MS
391,Puerto Madero,MX,86.0,14.7208,-92.4215,Hotel La Central
395,Carutapera,BR,83.07,-1.195,-46.02,Lidera
396,Santa Rosalia,MX,77.11,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
399,Epe,NG,85.62,6.5841,3.9834,MAGVILLE HOTEL
402,Araguaina,BR,87.49,-7.1911,-48.2072,Hotel São Vicente
407,Ailigandi,PA,83.98,9.2333,-78.0167,Akwa Reef Lodge
409,Pontes E Lacerda,BR,70.57,-15.2261,-59.3353,Hotel Bressan
410,Kieta,PG,77.86,-6.2167,155.6333,Uruna Bay Retreat
412,Kasur,PK,86.0,31.1156,74.4467,Qudrat ullah khan
417,Praia,CV,78.8,14.9215,-23.5087,LT Aparthotel
421,Pisco,PE,70.0,-13.7,-76.2167,Hotel San Isidro Oficial
423,Souillac,MU,77.0,-20.5167,57.5167,Shanti Maurice Resort & Spa
426,Eyl,SO,83.62,7.9803,49.8164,Amiin Hotel
430,Pokhara,NP,71.82,28.2333,83.9833,Butterfly Lodge
432,Buin,CL,73.99,-33.7333,-70.75,Paihuen
433,Hambantota,LK,80.85,6.1241,81.1185,Bungalow 63
436,Mehran,IR,75.2,33.1222,46.1646,بوتیک زنانه بهار
443,Zhuhai,CN,75.2,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
448,Canon City,US,72.0,38.441,-105.2424,Travel Inn Motel
451,Sao Jose Do Calcado,BR,82.58,-21.0253,-41.6544,Pinheiros Hotel
452,Innisfail,AU,74.82,-17.5333,146.0333,Moondarra Motel
453,Pemba,MZ,77.0,-12.974,40.5178,Guesthouse Samotina
455,Bafq,IR,75.51,31.6128,55.4107,Alamdar Hotel
457,Spring Hill,US,82.0,28.4769,-82.5255,Room of The world By traveline Plus
463,Cockburn Town,TC,78.91,21.4612,-71.1419,Osprey Beach Hotel
465,Kawalu,ID,71.82,-7.3817,108.2082,KOSAN UNGU UNSIK
466,Kudahuvadhoo,MV,83.52,2.6708,72.8944,Niyama Private Islands Maldives
467,Bentiu,SS,83.19,9.2333,29.8333,Mandela hôtel
468,Bambanglipuro,ID,76.98,-7.95,110.2833,Puri Brata
471,San Cristobal,VE,89.6,7.7669,-72.225,Posada Villaven C.A.
472,Wanning,CN,78.15,18.8003,110.3967,Paradise Hotel
474,Salalah,OM,84.2,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
476,Kahului,US,71.6,20.8947,-156.47,Maui Seaside Hotel
478,Hirara,JP,71.49,24.8,125.2833,Hotel Atoll Emerald Miyakojima
479,Dingle,PH,76.69,10.9995,122.6711,SEGAYA PROPERTY
482,Takoradi,GH,84.02,4.8845,-1.7554,Raybow International Hotel
483,La Seyne-Sur-Mer,FR,70.0,43.0982,5.8847,La Frégate
485,Palatka,US,80.01,29.6486,-81.6376,Holiday Inn Express & Suites Palatka Northwest
487,Mount Pleasant,US,73.0,32.7941,-79.8626,Best Western Patriots Point
489,Mahebourg,MU,77.0,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
492,Namibe,AO,79.41,-15.1961,12.1522,Hotel Chik Chik Namibe
499,Kelamangalam,IN,84.99,12.6,77.85,Edu City
500,Inhambane,MZ,75.2,-23.865,35.3833,Oceano
502,Manokwari,ID,78.75,-0.8667,134.0833,Swiss Belhotel Manokwari
513,Soanierana Ivongo,MG,74.32,-16.9167,49.5833,La Concorde
514,Yaguajay,CU,89.69,22.3272,-79.2378,Hostal La Terraza
516,Mae Hong Son,TH,75.78,19.3003,97.9685,Baiyoke Chalet Hotel
518,Mitsamiouli,KM,81.36,-11.3847,43.2844,Foyer ADM
519,Barra,BR,88.74,-11.0894,-43.1417,Motel Albatroz
522,Dondo,MZ,78.8,-19.6094,34.7431,Arco Iris
525,Adeje,ES,73.0,28.1227,-16.726,Gran Tacande Wellness & Relax
526,Balabac,PH,81.57,7.9868,117.0645,Sing and Swing Lodge
527,Wewak,PG,75.38,-3.5534,143.6268,In Wewak Boutique Hotel
529,Orthez,FR,72.0,43.4884,-0.7724,Hotel Kyriad Orthez
530,Gharghoda,IN,84.18,22.1667,83.35,"Gharghoda, Rest House"
534,Meulaboh,ID,78.04,4.1363,96.1285,Kost Pria
536,Narasannapeta,IN,80.53,18.4167,84.05,G.lingaraju home
538,Kapit,MY,74.01,2.0167,112.9333,Hotel Meligai Kapit
542,Sahiwal,PK,83.08,30.6667,73.1,Hussain Abad Colony
544,Iquique,CL,71.6,-20.2208,-70.1431,Backpacker`s Hostel Iquique
555,Paita,PE,77.0,-5.0892,-81.1144,Hotel Náutico de Paita
556,Dayong,CN,71.6,25.0209,118.2898,Haiyue Express Hotel
557,Doha,QA,84.99,25.2867,51.5333,Movenpick Hotel Doha
559,Saint Andrews,US,73.0,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
561,Muncar,ID,75.31,-8.4333,114.3333,Zaky Homestay
562,El Vigia,VE,89.74,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
567,Monrovia,LR,86.0,6.3005,-10.7969,Sunset Inn
570,Banda Aceh,ID,80.44,5.5577,95.3222,Sulthan Hotel International
571,Ambon,ID,81.0,-3.6954,128.1814,Swiss-Belhotel Ambon
573,Orangeburg,US,73.0,33.4918,-80.8557,Palmetto Inn & Suites
575,Ahuimanu,US,73.4,21.4447,-157.8378,Paradise Bay Resort
576,Luwuk,ID,75.97,-0.9516,122.7875,Hotel Santika Luwuk
577,Benguela,AO,82.69,-12.5763,13.4055,Hotel Praia Morena
